l=;860nm;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;trope;trope;;midlatitude;;;midlatitude;;;clear;;;hazy;;;;
;;;;;summer;;;winter;;;;;;;;;;
height;above;sea;level;;molecular;molecular;;molecular;molecular;;molecular;molecular;;aerosol;aerosol;;aerosol;aerosol
km;;absorption;scattering;;absorption;scattering;;absorption;scattering;;absorption;scattering;;absorption;scattering;;;
0;;0;1.89E-03;;0;0.00193;;0;0.00209;;0.0102;0.0977;;0.0498;0.476;;;
1;;0;0.00181;;0;0.00184;;0;0.00198;;0.00698;0.0666;;0.0314;0.3;;;
2;;0;0.00164;;0;0.00166;;0;0.00177;;0.00304;0.0291;;0.0115;0.11;;;
3;;0;0.00149;;0;0.0015;;0;0.00158;;0.0013;0.0124;;0.0042;0.0401;;;
4;;0;0.00134;;0;0.00136;;0;0.00141;;6.03E-04;0.00567;;0.00153;0.0146;;;
5;;0;0.00122;;0;0.00122;;0;0.00126;;3.76E-04;0.00359;;5.60E-04;0.00535;;;
6;;0;0.0011;;0;0.0011;;0;0.00113;;2.74E-04;0.00262;;2.74E-04;0.00262;;;
7;;0;9.92E-04;;0;9.90E-04;;0;1.00E-03;;2.21E-04;0.00211;;2.21E-04;0.00211;;;
8;;0;8.94E-04;;0;8.87E-04;;0;8.92E-04;;2.16E-04;0.00207;;2.16E-04;0.00207;;;
9;;0;8.00E-04;;0;7.96E-04;;0;7.90E-04;;2.15E-04;0.00205;;2.15E-04;0.00205;;;
10;;0;7.15E-04;;0;7.11E-04;;0;6.98E-04;;2.08E-04;0.00199;;2.08E-04;0.00199;;;
11;;0;6.38E-04;;0;6.32E-04;;0;6.08E-04;;1.99E-04;0.0019;;1.99E-04;0.0019;;;
12;;0;5.64E-04;;0;5.60E-04;;0;5.22E-04;;1.97E-04;0.00188;;1.97E-04;0.00188;;;
13;;0;5.01E-04;;0;4.95E-04;;0;4.47E-04;;1.94E-04;0.00186;;1.94E-04;0.00186;;;
14;;0;4.43E-04;;0;4.30E-04;;0;3.84E-04;;1.85E-04;0.00176;;1.85E-04;0.00176;;;
15;;0;3.89E-04;;0;3.67E-04;;0;3.29E-04;;1.77E-04;0.00169;;1.77E-04;0.00169;;;
16;;0;3.39E-04;;0;3.12E-04;;0;2.82E-04;;1.67E-04;0.0016;;1.67E-04;0.0016;;;
17;;0;2.92E-04;;0;2.67E-04;;0;2.42E-04;;1.62E-04;0.00155;;1.62E-04;0.00155;;;
18;;0;2.45E-04;;0;2.28E-04;;0;2.07E-04;;1.59E-04;0.00152;;1.59E-04;0.00152;;;
19;;0;2.03E-04;;0;1.95E-04;;0;1.77E-04;;1.43E-04;0.00137;;1.43E-04;0.00137;;;
20;;0;1.68E-04;;0;1.66E-04;;0;1.52E-04;;1.13E-04;0.00108;;1.13E-04;0.00108;;;
21;;0;1.40E-04;;0;1.42E-04;;0;1.29E-04;;8.25E-05;7.88E-04;;8.25E-05;7.88E-04;;;
22;;0;1.17E-04;;0;1.21E-04;;0;1.10E-04;;6.09E-05;5.81E-04;;6.09E-05;5.81E-04;;;
23;;0;9.84E-05;;0;1.03E-04;;0;9.43E-05;;4.62E-05;4.41E-04;;4.62E-05;4.41E-04;;;
24;;0;8.35E-05;;0;8.78E-05;;0;8.06E-05;;3.59E-05;3.43E-04;;3.59E-05;3.43E-04;;;
25;;0;7.09E-05;;0;7.50E-05;;0;6.88E-05;;2.93E-05;2.80E-04;;2.93E-05;2.80E-04;;;
30;;0;4.73E-05;;0;5.64E-05;;0;4.59E-05;;1.56E-05;1.49E-04;;1.56E-05;1.49E-04;;;
35;;0;2.16E-05;;0;2.32E-05;;0;2.07E-05;;4.47E-06;4.27E-05;;4.47E-06;4.27E-05;;;
40;;0;1.03E-05;;0;1.11E-05;;0;9.27E-06;;1.18E-06;1.12E-05;;1.18E-06;1.12E-05;;;
45;;0;5.04E-06;;0;5.44E-06;;0;4.31E-06;;3.09E-07;2.96E-06;;3.09E-07;2.96E-06;;;
50;;0;2.56E-06;;0;2.79E-06;;0;2.12E-06;;8.16E-08;7.79E-07;;8.16E-08;7.79E-07;;;
70;;0;0;;0;1.05E-06;;0;0;;7.36E-09;7.03E-08;;7.36E-09;7.03E-08;;;
100;;0;0;;0;0;;0;0;;2.53E-11;2.41E-10;;2.53E-11;2.41E-10;;;
